state,school_name,school_location,program_name,program_url
Maryland,University of Maryland-College Park,"College Park, Maryland",Graduate Certificate in Professional Studies in Geospatial Intelligence,https://geospatial.umd.edu/education/mps-gis
Maryland,University of Maryland-University College,"Adelphi, Maryland",Master of Science in Data Analytics,http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm
Massachusetts,Harvard University,"Cambridge, Massachusetts",Harvard Business Analytics Program,https://requestinfo.analytics.hbs.edu/index.html?s=mastersindatasciencesite&l=schools_cert_sp&utm_source=mastersindatasciencesite&utm_medium=link&utm_campaign=schools_cert_sp
Massachusetts,Babson College,"Wellesley, Massachusetts",MBA with Business Analytics Concentration,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx
Massachusetts,Bay Path University,"Longmeadow, Massachusetts",MS in Applied Data Science,http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/
Massachusetts,Bentley University,"Waltham, Massachusetts",Emerging Leaders MBA - Business Analytics,http://www.bentley.edu/graduate/mba-programs/emerging-leaders-mba
Massachusetts,Boston University,"Boston, Massachusetts",Applied Business Analytics Graduate Certificate,https://www.bu.edu/dbin/met/landing-pages/?page=aba&utm_campaign=ABA&utm_medium=website&utm_source=mastersindatascience.org
Massachusetts,Brandeis University,"Waltham, Massachusetts",M.S. in Strategic Analytics,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html
Massachusetts,Clark University,"Worcester, Massachusetts",M.S. in Business Analytics,http://www.clarku.edu/programs/ms-business-analytics
Massachusetts,Harvard University,"Cambridge, Massachusetts",Harvard Business Analytics Program,https://requestinfo.analytics.hbs.edu/index.html?s=mastersindatasciencesite&l=schools_cert_sp&utm_source=mastersindatasciencesite&utm_medium=link&utm_campaign=schools_cert_sp
Massachusetts,Massachusetts Institute of Technology,"Cambridge, Massachusetts",Master of Business Analytics,http://mitsloan.mit.edu/master-of-business-analytics/
Massachusetts,Merrimack College,"North Andover, Massachusetts",Master of Science in Business Analytics,http://onlinedsa.merrimack.edu/business-analytics/
Massachusetts,Northeastern University,"Boston, Massachusetts",Graduate Certificate in Data Analytics,http://www.northeastern.edu/data-analytics/data-science-certificate/
Massachusetts,Suffolk University,"Boston, Massachusetts",Master of Science in Business Analytics,http://www.suffolk.edu/business/graduate/71020.php
Massachusetts,University of Massachusetts Amherst,"Amherst, Massachusetts",Certificate in Statistical and Computational Data Science,https://ds.cs.umass.edu/academics/certificate-data-science
Massachusetts,University of Massachusetts-Boston,"Boston, Massachusetts",Graduate Certificate in Business Analytics,https://www.umb.edu/academics/caps/certificates/business_analytics
Massachusetts,Worcester Polytechnic Institute,"Worcester, Massachusetts",Graduate Certificate in Data Science,http://www.wpi.edu/academics/datascience/certificate-program.html
Michigan,Baker College,"Allen Park, Michigan",MBA in Business Intelligence,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/
Michigan,Central Michigan University,"Mount Pleasant, Michigan",Certificate in Data Mining,https://www.cmich.edu/colleges/cgs/programs/Pages/data-mining-cert.aspx
Michigan,Davenport University,"Grand Rapids, Michigan",Master of Science in Health Informatics and Information Management,http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-
