Speaker,Title,Link,Date,Year,Month,Gender
Massimo De Feo,Pure Love: The True Sign of Every True Disciple of Jesus Christ,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Bonnie L. Oscarson,Young Women in the Work,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Jean B. Bingham,Ministering as the Savior Does,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Reyna I. Aburto,With One Accord,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Brian K. Taylor,Am I a Child of God?,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Claudio D. Zivic,"He That Shall Endure unto the End, the Same Shall Be Saved",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
D. Todd Christofferson,The Elders Quorum,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dale G. Renlund,Family History and Temple Work: Sealing and Healing,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,The Sustaining of Church Officers,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,The Powers of the Priesthood,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,Small and Simple Things,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
David A. Bednar,Meek and Lowly of Heart,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Devin G. Durrant,Teaching in the Home—a Joyful and Sacred Responsibility,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dieter F. Uchtdorf,Behold the Man!,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Douglas D. Holmes,What Every Aaronic Priesthood Holder Needs to Understand,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gerald Causse,It Is All about People,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gary E. Stevenson,The Heart of a Prophet,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gerrit W. Gong,Christ the Lord Is Risen Today,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,Solemn Assembly,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,Inspired Ministering,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,His Spirit to Be with You,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Jeffrey R. Holland,“Be With and Strengthen Them”,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Kevin R. Jergensen,"Church Auditing Department Report, 2017",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Larry J. Echo Hawk,"Even as Christ Forgives You, So Also Do Ye",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Larry Y. Wilson,Take the Holy Spirit as Your Guide,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Lynn G. Robbins,Until Seventy Times Seven,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
M. Russell Ballard,Precious Gifts from God,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Neil L. Andersen,The Prophet of God,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Quentin L. Cook,Prepare to Meet God,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Ronald A. Rasband,Behold! A Royal Army,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Russell M. Nelson,Introductory Remarks,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Russell M. Nelson,Ministering with the Power and Authority of God,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Russell M. Nelson,"Revelation for the Church, Revelation for Our Lives",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Russell M. Nelson,Ministering,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Russell M. Nelson,Let Us All Press On,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Taniela B. Wakolo,Saving Ordinances Will Bring Us Marvelous Light,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Taylor G. Godoy,One More Day,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Ulisses Soares,Prophets Speak by the Power of the Holy Spirit,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Joy D. Jones,A Sin-Resistant Generation,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,F
Joy D. Jones,Value beyond Measure,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,F
Neill F. Marriott,Abiding in God and Repairing the Breach,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,F
Bonnie H. Cordon,Trust in the Lord and Lean Not,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,F
Carol F. McConkie,The Beauty of Holiness,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,F
Linda K. Burton,Certain Women,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,F
Benjamin De Hoyos,That Our Light May Be a Standard for the Nations,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Brook P. Hales,"Statistical Report, 2016",https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
C. Scott Grow,And This Is Life Eternal,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
D. Todd Christofferson,The Voice of Warning,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Dale G. Renlund,Our Good Shepherd,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Dallin H. Oaks,The Godhead and the Plan of Salvation,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
David A. Bednar,Called to the Work,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Dieter F. Uchtdorf,The Sustaining of Church Officers,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Dieter F. Uchtdorf,The Greatest among You,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Dieter F. Uchtdorf,Perfect Love Casteth Out Fear,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Gerald Causse,Prepare the Way,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Gary B. Sabin,Stand Up Inside and Be All In,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Gary E. Stevenson,How Does the Holy Ghost Help You?,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Henry B. Eyring,“My Peace I Leave with You”,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Henry B. Eyring,Gathering the Family of God,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Henry B. Eyring,“Walk with Me”,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Jeffrey R. Holland,Songs Sung and Unsung,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Joaquin E. Costa,To the Friends and Investigators of the Church,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Kevin R. Jergensen,"Church Auditing Department Report, 2016",https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
L. Whitney Clayton,"Whatsoever He Saith unto You, Do It",https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
M. Joseph Brough,His Daily Guiding Hand,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
M. Russell Ballard,Return and Receive,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Mark A. Bragg,Brighter and Brighter until the Perfect Day,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Neil L. Andersen,Overcoming the World,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Quentin L. Cook,Foundations of Faith,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Robert D. Hales,Becoming a Disciple of Our Lord Jesus Christ,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Ronald A. Rasband,Let the Holy Spirit Guide,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Russell M. Nelson,Drawing the Power of Jesus Christ into Our Lives,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
S. Mark Palmer,Then Jesus Beholding Him Loved Him,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Thomas S. Monson,"Kindness, Charity, and Love",https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Thomas S. Monson,The Power of the Book of Mormon,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Ulisses Soares,Confide in God Unwaveringly,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Valeri V. Cordon,The Language of the Gospel,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Weatherford T. Clayton,Our Father’s Glorious Plan,https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Yoon Hwan Choi,"Don’t Look Around, Look Up!",https://www.lds.org/general-conference/2017/04?lang=eng,4/1/17,2017,4,M
Bonnie L. Oscarson,The Needs before Us,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,F
Jean B. Bingham,That Your Joy Might Be Full,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,F
Sharon Eubank,Turn On Your Light,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,F
Adilson de Paula Parrella,Essential Truths—Our Need to Act,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
D. Todd Christofferson,The Living Bread Which Came Down from Heaven,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Dale G. Renlund,The Priesthood and the Savior’s Atoning Power,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Dallin H. Oaks,The Plan and the Proclamation,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
David A. Bednar,Exceeding Great and Precious Promises,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
David F. Evans,The Truth of All Things,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Dieter F. Uchtdorf,Three Sisters,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Dieter F. Uchtdorf,A Yearning for Home,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Dieter F. Uchtdorf,Bearers of Heavenly Light,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Donald L. Hallstrom,Has the Day of Miracles Ceased?,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Gary E. Stevenson,Spiritual Eclipse,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Henry B. Eyring,The Sustaining of Church Officers,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Henry B. Eyring,The Lord Leads His Church,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Henry B. Eyring,Fear Not to Do Good,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Ian S. Ardern,Seek Ye Out of the Best Books,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Jeffrey R. Holland,Be Ye Therefore Perfect—Eventually,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
John C. Pingree Jr.,“I Have a Work for Thee”,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Joni L. Koch,"Apart, but Still One",https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Jose L. Alonso,Love One Another as He Has Loved Us,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
M. Russell Ballard,The Trek Continues!,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Neil L. Andersen,The Voice of the Lord,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
O. Vincent Haleck,The Heart of the Widow,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Quentin L. Cook,The Eternal Everyday,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Richard J. Maynes,Earning the Trust of the Lord and Your Family,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Ronald A. Rasband,By Divine Design,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Russell M. Nelson,The Book of Mormon: What Would Your Life Be Like without It?,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Stanley G. Ellis,Do We Trust Him? Hard Is Good,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Stephen W. Owen,Repentance Is Always Positive,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Tad R. Callister,God’s Compelling Witness: The Book of Mormon,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
W. Christopher Waddell,Turn to the Lord,https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
W. Craig Zwick,"Lord, Wilt Thou Cause That My Eyes May Be Opened",https://www.lds.org/general-conference/2017/10?lang=eng,10/1/17,2017,10,M
Neill F. Marriott,What Shall We Do?,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,F
Bonnie L. Oscarson,Do I Believe?,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,F
Cheryl A. Esplin,He Asks Us to Be His Hands,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,F
Linda K. Burton,“I Was a Stranger”,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,F
Mary R. Durham,A Child’s Guiding Gift,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,F
Brook P. Hales,"Statistical Report, 2015",https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
D. Todd Christofferson,Fathers,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Dale G. Renlund,“That I Might Draw All Men unto Me”,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Dallin H. Oaks,Opposition in All Things,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
David A. Bednar,Always Retain a Remission of Your Sins,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Dieter F. Uchtdorf,The Sustaining of Church Officers,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Dieter F. Uchtdorf,In Praise of Those Who Save,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Dieter F. Uchtdorf,He Will Place You on His Shoulders and Carry You Home,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Donald L. Hallstrom,I Am a Child of God,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Gary E. Stevenson,Where Are the Keys and Authority of the Priesthood?,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Gerrit W. Gong,Always Remember Him,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Henry B. Eyring,Trust in That Spirit Which Leadeth to Do Good,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Henry B. Eyring,Where Two or Three Are Gathered,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Henry B. Eyring,Eternal Families,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Jairo Mazzagardi,The Sacred Place of Restoration,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Jeffrey R. Holland,Tomorrow the Lord Will Do Wonders among You,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Kent F. Richards,The Power of Godliness,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Kevin R. Duncan,The Healing Ointment of Forgiveness,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Kevin R. Jergensen,"Church Auditing Department Report, 2015",https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
M. Russell Ballard,Family Councils,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Mervyn B. Arnold,To the Rescue: We Can Do It,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Neil L. Andersen,"“Whoso Receiveth Them, Receiveth Me”",https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Patrick Kearon,Refuge from the Storm,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Paul V. Johnson,And There Shall Be No More Death,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Quentin L. Cook,See Yourself in the Temple,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Robert D. Hales,The Holy Ghost,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Ronald A. Rasband,Standing with the Leaders of the Church,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Russell M. Nelson,The Price of Priesthood Power,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Stephen W. Owen,The Greatest Leaders Are the Greatest Followers,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Steven E. Snow,Be Thou Humble,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Thomas S. Monson,A Sacred Trust,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Thomas S. Monson,Choices,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
W. Christopher Waddell,A Pattern for Peace,https://www.lds.org/general-conference/2016/04?lang=eng,4/1/16,2016,4,M
Bonnie L. Oscarson,"Rise Up in Strength, Sisters in Zion",https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,F
Carol F. McConkie,The Soul’s Sincere Desire,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,F
Carole M. Stephens,The Master Healer,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,F
Jean B. Bingham,I Will Bring the Light of the Gospel into My Home,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,F
Linda S. Reeves,The Great Plan of Redemption,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,F
Brian K. Ashton,The Doctrine of Christ,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Carl B. Cook,Serve,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Craig C. Christensen,“A Choice Seer Will I Raise Up”,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
D. Todd Christofferson,“Abide in My Love”,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dale G. Renlund,Repentance: A Joyful Choice,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dallin H. Oaks,Sharing the Restored Gospel,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
David A. Bednar,“If Ye Had Known Me”,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dean M. Davies,The Blessings of Worship,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dieter F. Uchtdorf,"Fourth Floor, Last Door",https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dieter F. Uchtdorf,O How Great the Plan of Our God!,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Dieter F. Uchtdorf,Learn from Alma and Amulek,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Evan A. Schmutz,God Shall Wipe Away All Tears,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Gary E. Stevenson,"Look to the Book, Look to the Lord",https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Henry B. Eyring,The Sustaining of Church Officers,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Henry B. Eyring,That He May Become Strong Also,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Henry B. Eyring,Gratitude on the Sabbath Day,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
J. Devn Cornish,Am I Good Enough? Will I Make It?,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Jeffrey R. Holland,Emissaries to the Church,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Juan A. Uceda,The Lord Jesus Christ Teaches Us to Pray,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
K. Brett Nattress,No Greater Joy Than to Know That They Know,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Kazuhiko Yamashita,Be Ambitious for Christ,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
LeGrand R. Curtis Jr.,There Is Power in the Book,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Lynn G. Robbins,The Righteous Judge,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
M. Russell Ballard,To Whom Shall We Go?,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Neil L. Andersen,A Witness of God,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Peter F. Meurs,The Sacrament Can Help Us Become Holy,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Quentin L. Cook,Valiant in the Testimony of Jesus,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Robert D. Hales,"“Come, Follow Me” by Practicing Christian Love and Service",https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Ronald A. Rasband,Lest Thou Forget,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Russell M. Nelson,Joy and Spiritual Survival,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Thomas S. Monson,Principles and Promises,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Thomas S. Monson,The Perfect Path to Happiness,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
W. Mark Bassett,For Our Spiritual Development and Learning,https://www.lds.org/general-conference/2016/10?lang=eng,10/1/16,2016,10,M
Neill F. Marriott,Yielding Our Hearts to God,https://www.lds.org/general-conference/2015/10?lang=eng,10/1/15,2015,10,F
Bonnie L. Oscarson,Defenders of the Family Proclamation,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,F
Carole M. Stephens,The Family Is of God,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,F
Cheryl A. Esplin,Filling Our Homes with Light and Truth,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,F
Linda K. Burton,We’ll Ascend Together,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,F
Rosemary M. Wixom,Returning to Faith,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,F
Boyd K. Packer,The Plan of Happiness,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Brent H. Nielson,Waiting for the Prodigal,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Brook P. Hales,"Statistical Report, 2014",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
D. Todd Christofferson,"Why Marriage, Why Family",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Dale G. Renlund,Latter-day Saints Keep on Trying,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Dallin H. Oaks,The Parable of the Sower,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
David A. Bednar,Therefore They Hushed Their Fears,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Dieter F. Uchtdorf,The Sustaining of Church Officers,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Dieter F. Uchtdorf,On Being Genuine,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Dieter F. Uchtdorf,The Gift of Grace,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Gerald Causse,Is It Still Wonderful to You?,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Henry B. Eyring,The Comforter,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Henry B. Eyring,“Is Not This the Fast That I Have Chosen?”,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Henry B. Eyring,Priesthood and Personal Prayer,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Jeffrey R. Holland,"Where Justice, Love, and Mercy Meet",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Jorge F. Zeballos,If You Will Be Responsible,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Jose A. Teixeira,Seeking the Lord,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Joseph W. Sitati,"Be Fruitful, Multiply, and Subdue the Earth",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Kevin R. Jergensen,"Church Auditing Department Report, 2014",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Kevin W. Pearson,Stay by the Tree,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
L. Tom Perry,Why Marriage and Family Matter—Everywhere in the World,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
L. Whitney Clayton,Choose to Believe,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Larry M. Gibson,Fatherhood—Our Eternal Destiny,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
M. Russell Ballard,The Greatest Generation of Young Adults,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Michael T. Ringwood,Truly Good and without Guile,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Neil L. Andersen,Thy Kingdom Come,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Quentin L. Cook,The Lord Is My Light,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Rafael E. Pino,The Eternal Perspective of the Gospel,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Robert D. Hales,"Preserving Agency, Protecting Religious Freedom",https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
Russell M. Nelson,The Sabbath Is a Delight,https://www.lds.org/general-conference/2015/04?lang=eng,4/1/15,2015,4,M
