Speaker,Title,Link,Date,Year,Month,Gender
Marion G. Romney,The Role of a Bishop in the Church Welfare Program,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Mark E. Petersen,"O America, America",https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Marvin J. Ashton,Progress through Change,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
N. Eldon Tanner,The Sustaining of Church Officers,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
N. Eldon Tanner,The Administration of the Church,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
N. Eldon Tanner,The Contributions of the Prophet Joseph Smith,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
N. Eldon Tanner,Constancy Amid Change,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
O. Leslie Stone,Commandments to Live By,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Richard G. Scott,Happiness Now and Forever,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Spencer W. Kimball,“We Need a Listening Ear”,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Spencer W. Kimball,Our Sisters in the Church,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Spencer W. Kimball,“Give Me This Mountain”,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Spencer W. Kimball,The Role of Righteous Women,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Thomas S. Monson,Pornography—the Deadly Carrier,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Victor L. Brown,Blessing the One,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
William Grant Bangerter,The Voice of the Lord Is unto All People,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
William R. Bradford,The Governing Ones,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Yoshihiko Kikuchi,Send Missionaries from Every Nation,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Barbara B. Smith,In the Time of Old Age,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,F
A. Theodore Tuttle,Welfare Services Begins with You,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Boyd K. Packer,Solving Emotional Problems in the Lord’s Own Way,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Bruce R. McConkie,“The Morning Breaks; the Shadows Flee”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
David B. Haight,The Primary Enriches the Lives of Children,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Derek A. Cuthbert,What Would the Savior Have Me Do?,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Eldred G. Smith,Decision,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Ezra Taft Benson,“May the Kingdom of God Go Forth”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Francis M. Gibbons,Statistical Report 1977,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Gene R. Cook,Seek Out Your Spiritual Leader,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
George P. Lee,Staying Unspotted from the World,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Gordon B. Hinckley,“Be Not Faithless”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Henry D. Taylor,Revelation,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Howard W. Hunter,“Bind on Thy Sandals”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
J. Richard Clarke,The Storehouse Resource System,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
James A. Cullimore,"Grieve Not the Holy Spirit, Lest We Lose It",https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
John H. Vandenberg,“What Is Truth?”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Joseph Anderson,Being “Anxiously Engaged”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
L. Tom Perry,“Trust in the Lord”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
LeGrand Richards,The Second Coming of Christ,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Marion G. Romney,Priesthood Responsibilities,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Marion G. Romney,Prayer and Revelation,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Marion G. Romney,The Royal Law of Love,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Mark E. Petersen,“Evidence of Things Not Seen”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Marvin J. Ashton,No Time for Contention,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
N. Eldon Tanner,“Ye Shall Know the Truth”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
N. Eldon Tanner,The Sustaining of Church Officers,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
N. Eldon Tanner,Worthy of Proper Recommendation,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
N. Eldon Tanner,We Are His Stewards,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Neal A. Maxwell,The Women of God,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
O. Leslie Stone,Making Your Marriage Successful,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Rex C. Reeve,Response to the Call,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Robert L. Backman,Everything Dear,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Robert L. Simpson,"“Not My Will, but Thine”",https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Ronald E. Poelman,“I Did Not Reach This Place By Myself”,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Spencer W. Kimball,The True Way of Life and Salvation,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Spencer W. Kimball,Strengthening the Family—the Basic Unit of the Church,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Spencer W. Kimball,Listen to the Prophets,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Spencer W. Kimball,Becoming the Pure in Heart,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Sterling W. Sill,The Poetry of Success,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Thomas S. Monson,The Prayer of Faith,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Victor L. Brown,A Haven of Love,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Wilford G. Edling,Church Finance Committee Report,https://www.lds.org/general-conference/1978/04?lang=eng,4/1/78,1978,4,M
Barbara B. Smith,Good Health—A Key to Joyous Living,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,F
Barbara B. Smith,Women’s Greatest Challenge,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,F
Elaine A. Cannon,"If We Want to Go Up, We Have to Get On",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,F
Ruth H. Funk,"“Come, Listen to a Prophet’s Voice”",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,F
Boyd K. Packer,The Relief Society,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Bruce R. McConkie,“Thou Shalt Receive Revelation”,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Carlos E. Asay,“Look to God and Live”,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
David B. Haight,The Stake President’s Role in Welfare Services,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
