title,address,city,state,price,bedrooms,bathrooms
Beautiful Townhome in Amazing Location!,2046 California Ave,Provo,UT,1525,4,2.5
Perfectly located 2 bed 1 bath in Provo,25 E 600 N,Provo,UT,900,2,1
Newly Updated Apartment Near BYU - 2Bed/1Bath,488 N 100 E,Provo,UT,995,2,1
Great Provo Apartment  For Rent,56 S 500 E,Provo,UT,1300,3,1.5
Anderson 102,140 E 300 S,Provo,UT,825,1,1
Brigham's Court #33,401 N 900 E,Provo,UT,925,2,1
Brigham's Court #13,401 N 900 E,Provo,UT,875,2,1
Autumnview Townhomes,1270 S State St,Provo,UT,1690,3,2.5
2 Bed / 1 Bath - The Sycamores on Provo Center St!,351 E Center St,Provo,UT,1015,2,1
Trembath Apt,2083 California Ave #D,Provo,UT,1000,3,1
Beautiful Mountainside Condo,1028 Canyon Vista Rd,Provo,UT,1495,3,2
Minutes from BYU & Provo City Center Remodeled Apt,1000 E Center St,Provo,UT,1100,2,1
Apartment for rent,247 N 200 E,Payson,UT,675,2,1
Ridgestone Condo 613,1045 S 1700 W,Payson,UT,1150,3,2
815 W. Sugar Maple Court,815 Sugar Ct,Payson,UT,1325,3,2.5
Super Clean Daylight Basement Apartment,665 W 1100 S,Payson,UT,975,2,1
Top Floor One Bed Apartment In The Quiet Country!,752 N 400 W,Payson,UT,1035,1,1
Mother in Law Apt,855 E 280 S,Payson,UT,1050,2,1
Large 2 Bed Apartment With Amazing Amenities!,752 N 400 W,Payson,UT,1280,2,2
House apartment,952 E 100 N,Payson,UT,1500,4,2
2 Bed Apartment With Open Floor Plan! Tour Today!,752 N 400 W,Payson,UT,1275,2,2
336 E 950 S Payson UT Townhouse,336 E 950 S,Payson,UT,1150,3,2.5
2 bed 2 bath Excellent Location Clean,207 S 400 W,Payson,UT,900,2,2
5 bd 2 bath house in payson,1093 S 730 W,Payson,UT,1800,5,2
Trailer for Rent,160 W 800 S,Payson,UT,650,2,1
Single/Student Housing in Payson,86 N 600 W,Payson,UT,400,2,1
Townhome Payson Utah,1198 S 1740 W,Payson,UT,1600,3,2.5
Rent to Own Condo in Payson,1045 S 1700 W,Payson,UT,1250,2,2
245 East Oak ridge Drive,245 E Oakridge Dr,Payson,UT,2900,4,2.5
3Bed 1Bath House,435 S 500 E,Payson,UT,1330,3,1
Large basement/ 2 Bedroom/ Access to the Outdoors,123 W High Sierra Dr,Payson,UT,1200,2,1
Salem Townhome,744 N 150 W,Salem,UT,1225,2,2.5
location location,460B S Oak Dr,Salem,UT,1150,1,1
3 Bedroom 1.5 Bathroom Apartment in Santaquin,156 S 300 E,Santaquin,UT,1150,3,1.5
Santaquin - 2 Bed/ 2 Bath basement apartment,742 N 420 W,Santaquin,UT,1200,2,2
Beautiful StoneRidge Plaza 3BD Condo for Rent,27 W Main St,Santaquin,UT,1000,3,2
"Beautiful 5 bedroom home in Santaquin, Utah",913 E 430 S,Santaquin,UT,2000,5,3
Beautiful 5BR 3BA in Spanish Fork,252 S 540 W,Spanish Fork,UT,1795,5,3
Beautiful 4BR 2BA home in Spanish Fork,1055 W 450 S,Spanish Fork,UT,1950,4,2
"Huge 3 bedroom, 2 bath apartment",368 N Diamond Fork Loop,Spanish Fork,UT,1155,3,2
Separate entry Move in TODAY pet ok,133 S 100 E,Spanish Fork,UT,895,0,2
Newly Remodeled Spanish Fork Apartment,42 E 300 S,Spanish Fork,UT,800,1,1
UT12381 Beautiful 4BR 3BA  Spanish Fork,2607 E 1620 S,Spanish Fork,UT,1795,4,3
Brand new Townhome,689 N 2560 E,Spanish Fork,UT,1575,3,2.5
Twin home in quiet cul-de-sac,733 E 660 N,Spanish Fork,UT,1200,3,1.5
"BEAUTIFUL AND SPACIOUS, 3 BED 3 BATH TOWNHOME!",1793 E 920 S,Spanish Fork,UT,1550,3,3
Private room for college students,630 E Center St (BSMT),Spanish Fork,UT,450,3,1
**Brand New** 2bed/1bath Basement Apartment,652 W 1550 S,Spanish Fork,UT,1000,2,1
Basement Apartment,1229 E 1000 S,Spanish Fork,UT,1200,2,1
Bed Room For Rent,2091 E 1400 S,Spanish Fork,UT,450,1,1
Remodeled 2 bed 1 bath Apartment,68 N 200 W,Spanish Fork,UT,950,2,1
Beautiful and Comfortable Town-home,724 N Blackhorse Loop,Spanish Fork,UT,1450,3,2.5
Female Roommate- $400 / mo. Incl's 1/2 bath,820 N 200 E,Spanish Fork,UT,400,5,2.5
"1 bedrm, 1 Den/guestrm, 1 bath luxury apartment",1345 S 2600 E,Spanish Fork,UT,1100,2,1
Lovely Home for Rent in Spanish Fork,1783 E 1130 S,Spanish Fork,UT,1650,4,4
Spacious Family Home,1413 E 100 S,Spanish Fork,UT,1650,5,3
Mother In-law Basement,1328 E 500 S,Spanish Fork,UT,1100,2,1
Basement Apartment,1385 E 550 S,Spanish Fork,UT,1000,2,1
Open House Sat Aug 1st 10-Noon,1034 W 520 S,Spanish Fork,UT,1300,3,2
Spanish Fork Rambler,2756 E 1520 S,Spanish Fork,UT,1500,5,2
Beautiful single family home in scenic Springville,374 E 1075 N,Springville,UT,1995,5,3
Salisbury Twinhome 197,197 W 1000 N,Springville,UT,1100,3,2
Great Patio View! Lease B-301!,664 S 2600 W,Springville,UT,1099,1,1
The Village on 4th Condos. Leasing for 8/21!,600 W 400 S,Springville,UT,1245,3,2
G-203 for August 21st!,664 S 2600 W,Springville,UT,1129,1,1
"Ready For Your Perfect Home, C-307?",664 S 2600 W,Springville,UT,1229,2,2
5 Bed town house in Springville,1078 E 200 S,Springville,UT,1600,5,3
"Only Steps Away From Your Mailbox, D-201!",664 S 2600 W,Springville,UT,1149,1,1
2 Bedroom Apartment - AVAILABLE NOW!,105 W 400 S,Springville,UT,895,2,1
"F-301, Spacious 1 Bedroom For August!",664 S 2600 W,Springville,UT,1199,1,1
3 Bedroom 1 Bathroom Apartment in Springville!,388 E 300 N,Springville,UT,850,3,1
darling 1 bed apt incl all utils.10 min 2 y 850.,500 S Main St,Springville,UT,850,1,1
Large home on large lot,684 E 1000 S,Springville,UT,1600,4,2.5
Duplex for Rent: Downstairs Apartment,1439 S 400 E,Springville,UT,1250,3,1
Cute 1 Bedroom Apartment Near Main Street,105 W 400 S,Springville,UT,795,1,1
$420 Men's Bdrm in Springville recently remodelled,1406 Spring Mountain Dr,Springville,UT,420,4,2
Family home by golf course in Springville,113 Hobble Creek Cyn,Springville,UT,2500,5,3
3 Bedroom 2 Bath Duplex with Garage in Springville,1940 S State St,Springville,UT,1300,3,2
Private Men's Room for Rent $450 utilities/paid,1507 N 150 E,Springville,UT,450,3,2.5
Large Main Level Condo\Available October,224 S 550 W,Springville,UT,1400,3,2
Available September,515 E Center St,Springville,UT,1300,3,1
Owner,1575 W 1600 S,Springville,UT,1000,1,1
Springville Townhouse,134 W 300 N,Springville,UT,1200,3,2
"6 Bed 3 Bath Energy Star Home, moving truck paid 4",1368 S 625 E,Springville,UT,2300,6,3
Springville studio for rent utilities included,193 E 200 N,Springville,UT,725,1,1
Mapleton home in quiet cul-de-sac,632 N 900 E,Mapleton,UT,2500,5,3.5
2-Bedroom Apartment,1351 N 800 W,Mapleton,UT,1200,2,1
