"","Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"40","1 bedroom - Gas Cooking, Wide Plank Flooring, Custom Cabinetry","Dec 19","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-gas-cooking-wide/6774928969.html","10522"
"41","1 bedroom - Custom Cabinetry, Indoor Garage Parking","Dec 19","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-custom-cabinetry/6776220731.html","10522"
"42","1 bedroom - Pet Friendly, Nest Learning Thermostat, Wide Plank Flooring","Dec 19","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly-nest/6776210241.html","10522"
"43","1 bedroom - Walk-In Closets, Gas Cooking, Covered Bike Storage","Dec 19","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-walk-in-closets/6776209384.html","10522"
"44","1 bedroom - Nest Learning Thermostat, Wide Plank Flooring, Pet Spa","Dec 19","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-nest-learning/6776208285.html","10522"
"45","1 bedroom - Chef-Inspired Kitchens, Wooded View, Pet Spa","Dec 19","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-chef-inspired/6776207188.html","10522"
"46","1 bedroom - Walk-In Closets, Wide Plank Flooring, Spacious Floor Plans","Dec 18","character(0)","$2825","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-walk-in-closets/6753090606.html","10522"
"47","1 bedroom - Pet Spa, Indoor Garage Parking, Wooded View, Call Today!","Dec 18","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-spa-indoor/6775440231.html","10522"
"48","1 bedroom - Electric Car Charging Station, Custom Cabinetry, Pet Spa","Dec 18","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-electric-car/6775463531.html","10522"
"49","1 bedroom - Walk-In Closets, Private Landscaped Courtyards, Pet Friendly","Dec 18","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-walk-in-closets/6775442672.html","10522"
"50","1 bedroom - Pet friendly, Spacious Floor Plan, Corner Unit, Call Today","Dec 18","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly/6775447016.html","10522"
"51","1 bedroom - Wide Plank Flooring, Over-Sized Soaking Tubs, Walk-In Closets","Dec 18","character(0)","$3075","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-wide-plank/6773494130.html","10522"
"52","1 bedroom - Covered Bike Storage, Nest Learning Thermostat","Dec 18","character(0)","$3095","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-covered-bike/6768111898.html","10522"
"53","1 Bedroom/1 Bath, free street parking, Hudson Line Train","Dec 17"," (Dobbs Ferry)","$1400","
                    1br -
                ","https://newyork.craigslist.org/wch/abo/d/1-bedroom-1-bath-free-street-parking/6775252527.html","10522"
"54","1 bedroom - Patio, Gas Stove, Pet Spa, Call Today!","Dec 17","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-patio-gas-stove/6774932389.html","10522"
"55","1 bedroom - Wide Plank Flooring, Private Landscaped Courtyards, Pet Spa","Dec 17","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-wide-plank/6774927811.html","10522"
"56","1 bedroom - Custom Cabinetry, LEED Silver Designed, Pet Spa","Dec 17","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-custom-cabinetry/6774926462.html","10522"
"57","1 bedroom - Electric Car Charging Station, Pet Friendly, Walk-In Closets","Dec 17","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-electric-car/6771676797.html","10522"
"58","1 Bedroom apartment","Dec 17"," (Dobbs Ferry)","$1675","
                    1br -
                    800ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-apartment/6774561974.html","10522"
"59","Large one bedroom","Dec 17"," (Dobbs Ferry)","$1750","
                    1br -
                    650ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-large-one-bedroom/6759532556.html","10522"
