month_date_yyyymm,postal_code,zip_name,city,state,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,cbsa_name,cbsa_zip_name
2020-11-01,85006,"phoenix, az",phoenix,az,4953,9342,-1587,-3142,28.613473,35.88129496,21.34565075,63.5,0.4767,20.5,0.2959,14.5,6,-0.0506,0.4706,0.6148,359550,-0.0413,0.0627,1.0323,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85023,"phoenix, az",phoenix,az,2086,1827,-153,-1021,78.625736,89.13505559,68.11641596,34,0.0303,1,-0.0556,-2,-23.5,-0.2,0.5327,1.3443,318550,-0.0016,-0.0016,0.9145,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85024,"phoenix, az",phoenix,az,4045,1224,1050,1198,83.551341,89.13505559,77.9676259,34,0,0,-0.3061,-15,-23.5,0.0639,1.1044,1.5697,427000,0.0676,0.1089,1.226,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85045,"phoenix, az",phoenix,az,11338,601,NA,920,89.596959,96.00228908,83.19162852,27.5,-0.1667,-5.5,-0.375,-16.5,-30,0.1164,1.11,1.7295,525050,0.0398,0.2963,1.5075,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85017,"phoenix, az",phoenix,az,3244,5044,-1123,-3070,56.940811,69.51438849,44.36723349,44,0.2571,9,0.5172,15,-13.5,-0.1606,0.4935,0.9426,240000,0.0433,0.1426,0.689,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85083,"phoenix, az",phoenix,az,6714,519,894,894,90.72106,93.32079791,88.12132112,30.5,-0.0469,-1.5,-0.3646,-17.5,-27,0.0876,1.1261,1.9344,550000,0.0186,0.2224,1.5791,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85048,"phoenix, az",phoenix,az,2580,2145,22,-725,76.0914,77.6324395,74.55035971,40,0.1429,5,-0.1111,-5,-17.5,-0.0573,0.7238,1.4836,452545,-0.1631,0.0523,1.2993,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85004,"phoenix, az",phoenix,az,12132,9567,-420,-3860,26.90484,28.84238064,24.96729889,70,0.4,20,0.2963,16,12.5,0.1643,0.3145,0.668,350050,-0.0787,0.0294,1.005,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85042,"phoenix, az",phoenix,az,2049,2060,856,-371,76.667757,89.13505559,64.20045782,34,0.0968,3,-0.15,-6,-23.5,0.0336,0.75,1.2623,352549.5,0.0074,-0.0208,1.0122,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85032,"phoenix, az",phoenix,az,90,1221,533,-644,83.588129,94.46533682,72.71092217,29.5,-0.0167,-0.5,-0.2805,-11.5,-28,-0.0588,0.3968,1.4426,356900,0.0199,0.17,1.0247,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
